epoch,time,loss,train_acc,val_acc,train_f1m,val_f1m,val_f1w
0,52.46,1434.5070,0.4921,0.4988,0.4773,0.4728,0.5246
1,52.54,1434.2445,0.5087,0.5570,0.4907,0.5097,0.5770
2,50.64,1428.2655,0.6637,0.7244,0.6437,0.6708,0.7295
3,50.40,1405.1337,0.7007,0.7279,0.6863,0.6908,0.7381
4,50.25,1386.3075,0.7183,0.7244,0.7043,0.6940,0.7366
5,50.17,1380.5710,0.7295,0.7372,0.7147,0.7070,0.7486
6,50.31,1377.3979,0.7288,0.7291,0.7154,0.7020,0.7417
7,50.48,1375.1205,0.7355,0.7395,0.7202,0.7096,0.7508
8,50.29,1373.5835,0.7360,0.7395,0.7214,0.7091,0.7507
9,50.22,1371.8975,0.7387,0.7337,0.7243,0.7048,0.7456
10,50.27,1371.1011,0.7390,0.7500,0.7250,0.7211,0.7608
11,50.27,1369.6959,0.7396,0.7419,0.7258,0.7132,0.7533
12,50.48,1368.9788,0.7441,0.7488,0.7293,0.7195,0.7596
13,50.29,1367.7784,0.7444,0.7430,0.7303,0.7138,0.7542
14,50.31,1367.3751,0.7432,0.7453,0.7286,0.7144,0.7559
15,50.23,1366.3676,0.7443,0.7500,0.7303,0.7215,0.7609
16,50.64,1366.0450,0.7472,0.7477,0.7332,0.7189,0.7586
17,50.30,1365.2417,0.7483,0.7512,0.7345,0.7221,0.7618
18,50.30,1363.8446,0.7445,0.7453,0.7308,0.7163,0.7564
19,50.04,1363.5765,0.7502,0.7523,0.7363,0.7218,0.7625
20,49.80,1362.6464,0.7484,0.7477,0.7357,0.7203,0.7590
21,49.84,1361.8540,0.7506,0.7453,0.7372,0.7173,0.7566
22,49.44,1361.3218,0.7533,0.7384,0.7397,0.7105,0.7502
23,49.84,1361.5725,0.7511,0.7337,0.7384,0.7072,0.7461
24,49.65,1360.3958,0.7508,0.7326,0.7385,0.7057,0.7450
25,49.75,1359.6910,0.7527,0.7465,0.7405,0.7192,0.7579
26,49.67,1358.9609,0.7561,0.7442,0.7434,0.7171,0.7558
27,49.68,1357.6969,0.7591,0.7523,0.7453,0.7246,0.7632
28,49.88,1357.3611,0.7584,0.7558,0.7447,0.7273,0.7663
29,49.64,1356.4403,0.7610,0.7407,0.7477,0.7126,0.7523
30,49.70,1356.5043,0.7634,0.7558,0.7492,0.7264,0.7660
31,49.90,1356.1068,0.7574,0.7384,0.7451,0.7123,0.7506
32,50.02,1354.9342,0.7563,0.7442,0.7445,0.7176,0.7559
33,49.74,1353.6361,0.7659,0.7651,0.7518,0.7364,0.7748
34,49.87,1354.5149,0.7582,0.7465,0.7465,0.7197,0.7580
35,49.73,1352.8052,0.7656,0.7628,0.7520,0.7333,0.7725
36,50.07,1352.6644,0.7736,0.7698,0.7577,0.7379,0.7783
37,49.62,1352.2563,0.7690,0.7651,0.7552,0.7359,0.7747
38,49.73,1353.0945,0.7723,0.7651,0.7570,0.7350,0.7745
39,49.74,1351.1571,0.7707,0.7663,0.7566,0.7374,0.7759
40,49.84,1349.8722,0.7778,0.7709,0.7625,0.7404,0.7797
41,49.81,1350.3447,0.7763,0.7674,0.7613,0.7367,0.7764
42,49.86,1348.9561,0.7847,0.7802,0.7680,0.7481,0.7879
43,50.71,1348.5822,0.7807,0.7884,0.7644,0.7572,0.7957
44,54.81,1348.3988,0.7821,0.7756,0.7663,0.7418,0.7831
45,53.05,1347.4182,0.7822,0.7756,0.7670,0.7423,0.7832
46,50.55,1346.3658,0.7882,0.7802,0.7718,0.7467,0.7874
47,50.45,1345.7480,0.7877,0.7791,0.7706,0.7436,0.7857
48,50.36,1345.5579,0.7851,0.7709,0.7695,0.7370,0.7787
49,50.69,1344.4132,0.7912,0.7744,0.7752,0.7397,0.7817
50,50.27,1343.7076,0.7901,0.7756,0.7743,0.7413,0.7829
51,50.61,1343.8312,0.7887,0.7744,0.7727,0.7417,0.7823
